First_Name.Middle_Name	Family_Name	Pubmed_Name	Category	Primary.Affiliation	Secondary.Affiliations	Researcher.ID.URL	RID	uuids
Stephen D	Wiviott	Wiviott SD	Clinical Medicine	Brigham & Womens Hosp, USA				9cb8ba5f-a592-4be4-b430-a6f367abb92b
Norman 	Wolmark	Wolmark N	Clinical Medicine	Allegheny Gen Hosp, USA	Natl Surg Adjuvant Breast & Bowel Project NSABP, USA			504cc865-e74a-49f5-9fb5-bfbc2b2a3c41
Mark 	Woodward	Woodward M	Clinical Medicine	The George Institute for Global Health, Australia	University of Sydney, Australia; University of Oxford, UK; Johns Hopkins University, USA			f6ef18a7-d906-4670-b6f7-190af8da6c71
Clyde W	Yancy	Yancy CW	Clinical Medicine	Northwestern University, USA				f6243678-e6d9-44fb-a5eb-71cacf4716d1
James C	Yang	Yang JC	Clinical Medicine	NCI, USA				eb2528c7-bed4-41aa-bfcd-6ebac433aa52
Salim 	Yusuf	Yusuf S	Clinical Medicine	Hamilton Hlth Sci, Canada	McMaster University, Canada			f6b331bf-304e-42f4-a237-f2ea3c2186b5
Andreas M	Zeiher	Zeiher AM	Clinical Medicine	University of Frankfurt, Germany				be1981a9-c78a-4139-901c-62b0ba92d1d6
Stefan 	Zeuzem	Zeuzem S	Clinical Medicine	University of Frankfurt, Germany				f218f32d-2da5-4e25-8822-e0a6e5434a2d
Paul Z	Zimmet	Zimmet PZ	Clinical Medicine	Baker IDI Heart & Diabet Inst, Australia	Monash University, Australia			27085331-7595-480f-85fc-00524b8b5721
Bernard 	Zinman	Zinman B	Clinical Medicine	University of Toronto, Canada				f4556b56-6aed-4961-81c3-bbdeb8186e95
Goncalo R	Abecasis	Abecasis GR	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				9b93fbf8-0b24-4e88-8d4f-12366b283a48
Can 	Alkan	Alkan C	Molecular Biology & Genetics	Bilkent University, Turkey		http://www.researcherid.com/rid/D-2982-2009	D-2982-2009	7685b516-0cc6-4321-a176-38efab97f14e
C David	Allis	Allis CD	Molecular Biology & Genetics	Rockefeller University, USA				a0b1ee5e-bb6b-44da-bc59-7097b1243e51
David M	Altshuler	Altshuler DM	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA				847c0d61-76c3-406c-b962-025ebc9832e6
Kristin G	Ardlie	Ardlie KG	Molecular Biology & Genetics	Broad Inst Harvard & MIT, USA				5769a418-4db5-4a5c-aa3c-cf5dbcec8f98
Jeffrey C	Barrett	Barrett JC	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				36e3f912-762b-4f11-98a6-aa82251559e5
Ines 	Barroso	Barroso I	Molecular Biology & Genetics	University of Cambridge, UK	Wellcome Trust Sanger Inst, UK			711145d5-c869-4a18-8ee4-dea112f290ec
David P	Bartel	Bartel DP	Molecular Biology & Genetics	Whitehead Inst Biomed Res, USA	Massachusetts Institute of Technology (MIT), USA			cbc12137-700d-4679-b688-b7398552bd5f
Richard N	Bergman	Bergman RN	Molecular Biology & Genetics	Cedars Sinai Med Ctr, USA				cd15b6d0-b884-499d-a4ec-63b5de7041aa
Bradley E	Bernstein	Bernstein BE	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Harvard University, USA; Massachusetts Gen Hosp, USA			0cfeb8ae-3105-4181-b0b3-581c582b5641
Ewan 	Birney	Birney E	Molecular Biology & Genetics	European Molecular Biology Laboratory/European Bioinformatics Institute/EMBL-EBI, UK	Wellcome Trust Sanger Institute, UK			e30e24b6-b87c-4e53-8e78-198ad7f6d92d
Bruce W	Birren	Birren BW	Molecular Biology & Genetics	Broad Inst Massachusetts Inst Technol & Harvard, USA				6b2d92dc-3a7f-4c8b-8d5c-3b5b789b011e
Michael 	Boehnke	Boehnke M	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				5b3fe870-84b5-4807-a784-44f508026fd3
Eric 	Boerwinkle	Boerwinkle E	Molecular Biology & Genetics	The University of Texas Health Science Center at Houston, USA	Baylor College of Medicine, USA			df1ef6b3-a403-427b-ae3c-bffd95df5b38
Lori L	Bonnycastle	Bonnycastle LL	Molecular Biology & Genetics	NHGRI, USA				18107125-9ff9-43d1-bb1e-0114e200cccf
Peer 	Bork	Bork P	Molecular Biology & Genetics	European Mol Biol Lab, Germany				b3c5379a-1055-49c5-b930-f945166ca22a
Matthew  A	Brown	Brown M	Molecular Biology & Genetics	The University of Queensland, Australia		http://www.researcherid.com/rid/E-5749-2010	E-5749-2010	66359fc8-64d7-4873-9b98-b2f94a3adc25
Christopher B	Burge	Burge CB	Molecular Biology & Genetics	Massachusetts Institute of Technology (MIT), USA				7888deb4-4a04-4b03-bd17-02539d4e84ab
Harry 	Campbell	Campbell H	Molecular Biology & Genetics	The University of Edinburgh, UK				973a5c69-22a3-4ace-95dc-2eb49c3c89dc
Nigel P	Carter	Carter NP	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				52c79aa3-87da-4a6d-b075-e3dcb64fb43d
Mark J	Caulfield	Caulfield MJ	Molecular Biology & Genetics	Queen Mary, U. of London, UK				6768bd05-1968-44b8-8e42-42f9f352fd67
Aravinda 	Chakravarti	Chakravarti A	Molecular Biology & Genetics	The Johns Hopkins University, USA				ead84477-8481-4977-8ecc-6d9791b960c4
Stephen J	Chanock	Chanock SJ	Molecular Biology & Genetics	NCI, USA				ff410e71-f5ee-4ed1-8b11-729201d5ea78
Ze 	Cheng	Cheng Z	Molecular Biology & Genetics	University of Washington, USA				545ada60-1808-444f-b49b-0c13dfb18f77
Asif T	Chinwalla	Chinwalla AT	Molecular Biology & Genetics	Monsanto, USA				e4ac6757-2275-4100-86d8-e573d610ff48
Andrew G	Clark	Clark AG	Molecular Biology & Genetics	Cornell University, USA				db3e832c-8bff-4893-b1ef-be96057ca4e3
Francis S	Collins	Collins FS	Molecular Biology & Genetics	NIH, USA				98ea6b59-f703-423a-ba17-cbac7731f5a3
Gregory M	Cooper	Cooper GM	Molecular Biology & Genetics	HudsonAlpha Inst Biotechnol, USA	University of Washington, USA			928d494f-ef16-4774-ad50-a5182cebec98
Mark J	Daly	Daly MJ	Molecular Biology & Genetics	Broad Inst Harvard & MIT, USA	Harvard University, USA; Massachusetts Gen Hosp, USA			53788f74-a698-4ee2-a058-39fbea0a5192
Paul I W	De Bakker	De Bakker PI	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Harvard University, USA; Univ Med Ctr Utrecht, Netherlands			d6230c22-e045-48e3-9d63-58089e00ea48
Panos 	Deloukas	Deloukas P	Molecular Biology & Genetics	Queen Mary, U. of London, UK	King Abdulaziz University, Saudi Arabia	http://www.researcherid.com/rid/B-2922-2013	B-2922-2013	c6d098d9-6e7f-47cb-9777-138e051e58c5
Emmanouil T	Dermitzakis	Dermitzakis ET	Molecular Biology & Genetics	University of Geneva, Switzerland	King Abdulaziz University, Saudi Arabia; Biomedical Research Foundation of the Academy of Athens, Greece			4a779273-51b7-4a56-95c4-69ea2e6c65d2
Peter 	Donnelly	Donnelly P	Molecular Biology & Genetics	University of Oxford, UK				066ae128-d2ef-41c0-86f0-84b5164ac0f8
Richard M	Durbin	Durbin RM	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				bdedb1a2-886d-417c-b9cd-b4b0e50472f7
Douglas F	Easton	Easton DF	Molecular Biology & Genetics	University of Cambridge, UK				0390cfc0-e7b0-4db1-a0f4-eca2f17a8ec3
Evan E	Eichler	Eichler EE	Molecular Biology & Genetics	University of Washington, USA				38c049aa-8700-4f20-95e4-b004565d9160
Stephen J	Elledge	Elledge SJ	Molecular Biology & Genetics	Brigham & Womens Hosp, USA	Harvard University, USA			c962c94b-369b-4ac0-ba56-e1b6fd8ec913
Paul 	Elliott	Elliott P	Molecular Biology & Genetics	Imperial College London, UK				0a050031-f23e-4187-8470-0e5c2ffdf738
Michael R	Erdos	Erdos MR	Molecular Biology & Genetics	Natl Human Genome Res Inst, USA				63eebe15-f182-460f-8597-2789fa74b0d0
Paul 	Flicek	Flicek P	Molecular Biology & Genetics	European Bioinformat Inst, UK				1326ea65-f4bd-4a06-8294-5651da173302
Timothy M	Frayling	Frayling TM	Molecular Biology & Genetics	University of Exeter, UK				31f6f149-2dbd-4810-9653-d2be768df6e2
Philippe 	Froguel	Froguel P	Molecular Biology & Genetics	Imperial College London, UK	Lille 2 University of Health and Law, France			953ff7da-4478-45c0-ba25-d822a7b85b41
Lucinda 	Fulton	Fulton LL	Molecular Biology & Genetics	Washington University in St. Louis, USA				16293414-3ff4-4161-9147-6d30e43ae8b3
Stacey B	Gabriel	Gabriel SB	Molecular Biology & Genetics	Broad Inst, USA				324e91d0-194b-4110-a5cf-899a23740c53
Mark B	Gerstein	Gerstein MB	Molecular Biology & Genetics	Yale University, USA				139ddd8f-84c2-4266-baef-d1ee5773c015
Richard A	Gibbs	Gibbs RA	Molecular Biology & Genetics	Baylor College of Medicine, USA				6a0371dd-e3b4-4840-b383-8f629c8cb040
Christian 	Gieger	Gieger C	Molecular Biology & Genetics	German Res Ctr Environm Hlth, Germany				3fdfeff3-9eff-4907-8bcd-717b0383cc62
Thomas R	Gingeras	Gingeras TR	Molecular Biology & Genetics	Cold Spring Harbor Lab, USA				8b2d1947-b7c2-48a2-bf14-68621ca8a359
Douglas R	Green	Green DR	Molecular Biology & Genetics	St Jude Childrens Hosp, USA				c6bd8f17-dba0-4150-a335-36f1b209d994
Eric D	Green	Green ED	Molecular Biology & Genetics	NHGRI, USA				67099e83-cd34-4acb-ac33-3895c71e222e
Leif C	Groop	Groop LC	Molecular Biology & Genetics	Lund University, Sweden	University of Helsinki, Finland			e00b1c11-fb44-46ce-9afa-867b7e3b9e26
Kun-Liang 	Guan	Guan KL	Molecular Biology & Genetics	University of California, San Diego, USA				881f7b54-295e-42c5-82e9-c8a8d74d1993
Daniel F	Gudbjartsson	Gudbjartsson DF	Molecular Biology & Genetics	deCODE Genet, Iceland	University of Iceland, Iceland			875aea23-025a-4976-8705-eb7834929df8
Candace 	Guiducci	Guiducci C	Molecular Biology & Genetics	Broad Inst Massachusetts Inst Technol & Harvard, USA				f1a48607-386d-4b4c-9c18-9c8b9805b951
Roderic 	Guigo	Guigo R	Molecular Biology & Genetics	Ctr Genom Regulat CRG, Spain	University of Pompeu Fabra, Spain			f8522135-8213-4386-a3c9-7e044dde576f
Jeffrey R	Gulcher	Gulcher JR	Molecular Biology & Genetics	deCODE Genet, Iceland				8e2468b2-35db-43b4-b578-6c1ac191ab5c
Rhian 	Gwilliam	Gwilliam R	Molecular Biology & Genetics	KBioscience Unit 7, UK				f76fc9ef-9274-438b-b863-ca7bc8d83a99
Steven P	Gygi	Gygi SP	Molecular Biology & Genetics	Harvard University, USA				d60eaa41-29bd-479d-aeaa-a3b471c2b990
Alistair S	Hall	Hall AS	Molecular Biology & Genetics	University of Leeds, UK				37562578-06c2-4a4a-8201-4b76992ef0f6
Gregory J	Hannon	Hannon GJ	Molecular Biology & Genetics	Cold Spring Harbor Lab, USA				b18e7a77-349c-40bb-8bab-9587f327c664
Torben 	Hansen	Hansen T	Molecular Biology & Genetics	University of Copenhagen, Denmark	University of Southern Denmark, Denmark			fd86f28b-d093-4af6-a90a-4eebcb603ae7
Anna-Liisa 	Hartikainen	Hartikainen AL	Molecular Biology & Genetics	University of Oulu, Finland				ae9deff6-9868-4ad5-ae03-c6c11198087f
Andrew T	Hattersley	Hattersley AT	Molecular Biology & Genetics	University of Exeter, UK				ccd972c9-e234-407e-aafc-f25a86f4f289
David 	Haussler	Haussler D	Molecular Biology & Genetics	University of California, Santa Cruz, USA				89daad15-15fd-495d-9769-339468e427e3
Ladeana W	Hillier	Hillier LW	Molecular Biology & Genetics	Washington University in St. Louis, USA				84d4082a-f7e5-4898-a976-e4ca152d010d
Joel N	Hirschhorn	Hirschhorn JN	Molecular Biology & Genetics	Broad Inst, USA	Childrens Hosp, USA			9083292b-39f5-4b01-aafd-646517f2d948
Albert 	Hofman	Hofman A	Molecular Biology & Genetics	Erasmus MC, Netherlands	Netherlands Genom Initiat, Netherlands			31b8e419-e7e6-4d0d-9b6d-1096873f3a54
Frank B	Hu	Hu FB	Molecular Biology & Genetics	Harvard University, USA	King Abdulaziz University, Saudi Arabia			7e6c410c-f1c1-4e85-9731-8d0b2607be2c
Sarah E	Hunt	Hunt SE	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				587174a8-10aa-4d9e-a42a-3df136d56fd4
David J	Hunter	Hunter DJ	Molecular Biology & Genetics	Harvard University, USA				578718ec-09a5-4e10-9b8d-df6a26da8b13
Matthew E	Hurles	Hurles ME	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				5d4203e0-e713-4b96-a770-faffa62bc726
Thomas 	Illig	Illig T	Molecular Biology & Genetics	German Res Ctr Environm Hlth, Germany	Hannover Medical School, Germany			097da13f-17e2-464e-b1e0-9dc497e25c86
Stephen P	Jackson	Jackson SP	Molecular Biology & Genetics	University of Cambridge, UK	MISSION Therapeut Ltd, UK			85e09530-c833-4403-a551-1617101caa5b
Anne U	Jackson	Jackson AU	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				1fe30009-de97-4daa-9dd2-f58718e63a18
Steven E W	Jacobsen	Jacobsen SE	Molecular Biology & Genetics	University of California, Los Angeles, USA				0e8b593a-19c3-4986-93db-3a3efdd64257
Rudolf 	Jaenisch	Jaenisch R	Molecular Biology & Genetics	Massachusetts Institute of Technology (MIT), USA	Whitehead Inst Biomed Res, USA			fa4a721d-3601-4c6f-9ee7-6fbad3c040cd
David B	Jaffe	Jaffe DB	Molecular Biology & Genetics	Broad Inst, USA				cc7b0d7a-165b-4dd6-af8b-b38c7233321e
Marjo-Riitta 	Jarvelin	Jarvelin MR	Molecular Biology & Genetics	Natl Inst Hlth & Welf, Finland	Imperial College London, UK			7a763a48-d585-43a3-bff6-c27720441c90
Toby 	Johnson	Johnson T	Molecular Biology & Genetics	GlaxoSmithKline, UK				e25fb0e4-1d5a-486d-a446-a2cfbc481110
Torben J D	Jorgensen	Jorgensen TJ	Molecular Biology & Genetics	Glostrup Univ Hosp, Denmark	University of Copenhagen, Denmark			17560e52-423f-429f-8ac8-2c39321a6adf
Michael 	Karin	Karin M	Molecular Biology & Genetics	University of California, San Diego, USA				898e9cb2-9a56-440b-ada6-d5d93dd6c610
Sekar 	Kathiresan	Kathiresan S	Molecular Biology & Genetics	Broad Inst, USA	Harvard University, USA			009a1782-ad7e-4cbd-939f-20ead8ffb1f0
Manolis 	Kellis	Kellis M	Molecular Biology & Genetics	Massachusetts Institute of Technology (MIT), USA				930e1f7d-7d79-46ef-ae07-1e95e890080d
William James	Kent	Kent W	Molecular Biology & Genetics	University of California, Santa Cruz, USA				c7024242-6d1c-440b-8db4-be3f90657ae5
Lambertus A	Kiemeney	Kiemeney LA	Molecular Biology & Genetics	Radboud University Nijmegen, Netherlands				633be4a3-a4bb-4958-9682-14febb86a147
V Narry	Kim	Kim VN	Molecular Biology & Genetics	Seoul National University, South Korea				8e3d802f-5086-4d04-bc20-36d80e37785f
Daniel J	Klionsky	Klionsky DJ	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				ced6f188-8286-41e4-968a-d5603ffcba00
Augustine 	Kong	Kong A	Molecular Biology & Genetics	deCODE Genet, Iceland				6a6a8061-7c33-418a-903d-4a4585794598
Peter 	Kraft	Kraft P	Molecular Biology & Genetics	Harvard University, USA				fd1a9142-f0f5-4721-adb5-c8105d631755
Guido 	Kroemer	Kroemer G	Molecular Biology & Genetics	University of Paris Descartes (Paris 5), France	Gustave Roussy Comprehensive Cancer Center, France; INSERM, France			c46e3a66-9504-4f20-ac46-605472754a17
Johanna 	Kuusisto	Kuusisto J	Molecular Biology & Genetics	University of Eastern Finland, Finland				0e482a22-156a-420a-a465-b179f14da29e
Markku 	Laakso	Laakso M	Molecular Biology & Genetics	University of Eastern Finland, Finland				3af6ac7e-34f0-4ae0-b9ce-92e6ed3953a9
Eric S	Lander	Lander ES	Molecular Biology & Genetics	Broad Inst Harvard & MIT, USA	Massachusetts Institute of Technology (MIT), USA; Harvard University, USA			0464f4b0-7c2e-4a47-b98d-b6eeb5266b5f
Charles 	Lee	Lee C	Molecular Biology & Genetics	Harvard University, USA				4045acc8-e374-4dc2-a534-64c8868bd461
Beth 	Levine	Levine B	Molecular Biology & Genetics	The University of Texas Southwestern Medical Center at Dallas, USA	Howard Hughes Medical Institute, USA			ebc1108a-5753-4e47-88c5-c434f4a1010d
Yingrui 	Li	Li Y	Molecular Biology & Genetics	BGI Shenzhen, China				8a3f5e33-a39e-479b-aed5-6d46794ef41d
Yun 	Li	Li Y	Molecular Biology & Genetics	University of North Carolina at Chapel Hill, USA				44513776-a5fb-46af-84ba-c5b7a777233e
Kerstin 	Lindblad-Toh	Lindblad-Toh K	Molecular Biology & Genetics	Broad Inst Harvard & Massachusetts Inst Technol, USA	Uppsala University, Sweden			a58cfc25-ed48-44fc-b2c9-20e2a52d0a82
Cecilia M	Lindgren	Lindgren CM	Molecular Biology & Genetics	University of Oxford, UK				c99c94a6-c8d2-40ea-afd2-4f98ce73c97a
Ruth J F	Loos	Loos RJ	Molecular Biology & Genetics	Addenbrookes Hosp, UK	Icahn School of Medicine at Mount Sinai, USA			efa608df-b67b-48ca-b822-457e5c2130fc
Matthias 	Mann	Mann M	Molecular Biology & Genetics	Max Planck Inst Biochem, Germany	University of Copenhagen, Denmark			7b3f3826-90e6-4c97-95fe-74b21d80bfa9
Jonathan L	Marchini	Marchini JL	Molecular Biology & Genetics	University of Oxford, UK	Wellcome Trust Ctr Human Genet, UK			a6bf4633-6cd3-4130-b9e3-b636896aff39
Elaine R	Mardis	Mardis ER	Molecular Biology & Genetics	Washington University in St. Louis, USA				4355138e-c857-4ddc-b400-b37202d058c3
Marco A	Marra	Marra MA	Molecular Biology & Genetics	British Columbia Canc Res Ctr, Canada	University of British Columbia, Canada; Simon Fraser University, Canada			6f817cb5-f79a-4359-ab4b-313182b9206d
Christopher G	Mathew	Mathew CG	Molecular Biology & Genetics	King's College London, UK				c1bcd01a-93e2-4f95-94ac-0c986ba406be
Wendy L	McArdle	McArdle WL	Molecular Biology & Genetics	University of Bristol, UK				3eeab5ac-7b80-41e8-a277-919e4ca863bf
Steven A	McCarroll	McCarroll SA	Molecular Biology & Genetics	Broad Inst Harvard & MIT, USA	Harvard University, USA			634dbcd5-4528-43e7-a2ba-a2bc5a8b811d
Mark I	McCarthy	McCarthy MI	Molecular Biology & Genetics	University of Oxford, UK				2969588c-68f2-4176-a645-4a6468818dbd
Thomas 	Meitinger	Meitinger T	Molecular Biology & Genetics	Technical University Munich, Germany	Helmholtz Zentrum Munchen, German Research Center for Environmental Health, Germany			00bcb697-5368-4d46-8415-ffda5aaa815a
Tarjei S	Mikkelsen	Mikkelsen TS	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Harvard University, USA	http://www.researcherid.com/rid/A-1306-2007	A-1306-2007	7af4fb82-a36a-469a-b606-666144bc0639
Webb 	Miller	Miller W	Molecular Biology & Genetics	Pennsylvania State University - University Park, USA				6cb5d928-82d4-4b42-a366-07eadfff81ea
Noboru 	Mizushima	Mizushima N	Molecular Biology & Genetics	Tokyo Medical and Dental University, Japan	The University of Tokyo, Japan			e5cd8a6d-b7f4-451c-8c88-b10806cd21d0
Karen L	Mohlke	Mohlke KL	Molecular Biology & Genetics	University of North Carolina at Chapel Hill, USA				73dbdec4-3b3d-4731-889d-9c2ab89927bd
Vincent 	Mooser	Mooser V	Molecular Biology & Genetics	GlaxoSmithKline R&D, USA				065160fe-8177-4d46-8cc8-48fb96d1e165
Andrew D	Morris	Morris AD	Molecular Biology & Genetics	The University of Dundee, UK				adaf21d5-870a-4e9c-b4b9-8142b974b312
James C	Mullikin	Mullikin JC	Molecular Biology & Genetics	NHGRI, USA				208d3632-00b7-48aa-ab2b-0eaf718d46ca
Donna Marie	Muzny	Muzny DM	Molecular Biology & Genetics	Baylor College of Medicine, USA				56177b19-9077-4e50-8746-53985923ea3a
Yusuke 	Nakamura	Nakamura Y	Molecular Biology & Genetics	University of Chicago, USA	The University of Tokyo, Japan			59134b37-9c78-4b06-b57c-6de0262a68e7
Deborah A	Nickerson	Nickerson DA	Molecular Biology & Genetics	University of Washington, USA				f80e6149-01bc-410f-b79d-1c73a476a1ca
Rasmus 	Nielsen	Nielsen R	Molecular Biology & Genetics	University of California, Berkeley, USA	University of Copenhagen, Denmark			c339ae9c-f29d-4d41-a242-effbff69fbe2
Chad 	Nusbaum	Nusbaum C	Molecular Biology & Genetics	Harvard University, USA	Massachusetts Institute of Technology (MIT), USA			57c987e5-596c-4eab-831f-24e054b77a4b
Jesper V	Olsen	Olsen JV	Molecular Biology & Genetics	University of Copenhagen, Denmark				d3ad4cef-da47-4249-bd9a-7c89d257c753
Willem H	Ouwehand	Ouwehand WH	Molecular Biology & Genetics	NHS Blood Transplant, UK	University of Cambridge, UK			4f6dc41e-48f7-4032-959f-a6a3c068bfab
Colin N A	Palmer	Palmer CN	Molecular Biology & Genetics	The University of Dundee, UK		http://www.researcherid.com/rid/C-7053-2008	C-7053-2008	7a3131b7-cdb1-4c73-88c7-b292f591e0d9
Nick J	Patterson	Patterson NJ	Molecular Biology & Genetics	Harvard University, USA	Massachusetts Institute of Technology (MIT), USA			6bcc96aa-f8d0-4a9a-833a-69bfa039b4c2
Oluf 	Pedersen	Pedersen O	Molecular Biology & Genetics	University of Copenhagen, Denmark	Aarhus University, Denmark			38f2913f-3e9b-4108-861f-d64584ffac5d
Leena 	Peltonen	Peltonen L	Molecular Biology & Genetics	University of Helsinki, Finland				07eb47a7-69c5-4674-a1b0-f3ab8f335302
Chris P	Ponting	Ponting CP	Molecular Biology & Genetics	University of Oxford, UK				398a2abe-d316-4297-9ada-aa90ff24a746
Inga 	Prokopenko	Prokopenko I	Molecular Biology & Genetics	Imperial College London, UK				543e2525-7313-4273-a46b-ccccd1e84f87
Shaun M	Purcell	Purcell SM	Molecular Biology & Genetics	Massachusetts Gen Hosp, USA	Harvard University, USA; Broad Inst MIT & Harvard, USA; Icahn School of Medicine at Mount Sinai, USA			38db6546-0939-4808-ab8d-9cc837ff751e
Michael A	Quail	Quail MA	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				21e962bd-9a58-4dad-a3b1-476bb40f5cf7
Aviv 	Regev	Regev A	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Massachusetts Institute of Technology (MIT), USA			1abdcd9b-9dd7-49eb-b8cc-42573a5f37a0
Wolf 	Reik	Reik W	Molecular Biology & Genetics	Babraham Institute Cambridge, UK	University of Cambridge, UK; Sanger Institute Cambridge, UK			372a1cdd-fd3c-4497-9d56-ea304c366083
Danny 	Reinberg	Reinberg D	Molecular Biology & Genetics	New York University, USA				a7de07cb-745e-4154-a03b-2836dae5f429
Bing 	Ren	Ren B	Molecular Biology & Genetics	University of California, San Diego, USA				faebf80d-5534-45dd-a843-100390e8e90d
John L	Rinn	Rinn JL	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Harvard University, USA			63464d14-3df6-45c0-8d0d-f3ec24ead865
David C	Rubinsztein	Rubinsztein DC	Molecular Biology & Genetics	University of Cambridge, UK				d9c91aaf-e1cd-410c-813b-5afb472f5a14
David M	Sabatini	Sabatini DM	Molecular Biology & Genetics	Massachusetts Institute of Technology (MIT), USA	Broad Inst Harvard & MIT, USA			6928bbfe-00c8-4f75-a0b0-3ba79306bf48
Veikko 	Salomaa	Salomaa V	Molecular Biology & Genetics	Natl Inst Hlth & Welf, Finland				ec23b6cd-6014-4dbe-b4c7-ce42ba3ae58c
Nilesh J	Samani	Samani NJ	Molecular Biology & Genetics	University of Leicester, UK				a0d17b12-fdad-49a3-9ee3-f0b56efd24a5
Serena 	Sanna	Sanna S	Molecular Biology & Genetics	CNR, Italy	Ist Neurogenet & Neurofarmacol CNR, Italy			e37f9fd8-e1e7-414a-9d2c-137aac328969
Eric E	Schadt	Schadt EE	Molecular Biology & Genetics	Icahn School of Medicine at Mount Sinai, USA				f9f28100-9feb-47d0-bab4-31197244ac92
Stephen F	Schaffner	Schaffner SF	Molecular Biology & Genetics	Broad Inst MIT & Harvard, USA	Harvard University, USA			6519d01a-a76c-4fad-b04b-09d933d50bc7
Paul A	Scheet	Scheet PA	Molecular Biology & Genetics	The University of Texas M. D. Anderson Cancer Center, USA				7a5ba369-e268-463e-ba23-995b652e1caf
Stephen W	Scherer	Scherer SW	Molecular Biology & Genetics	The Hospital for Sick Children (50%), Canada	University of Toronto (35%), Canada; King Abdulaziz University (15%), Saudi Arabia	http://www.researcherid.com/rid/B-3785-2013	B-3785-2013	75a6fdee-a178-4e8c-ad2b-361f782a21ca
David 	Schlessinger	Schlessinger D	Molecular Biology & Genetics	NIA, USA				9e04ac9c-5ddc-43aa-a36f-df28f3dadf3f
Stefan 	Schreiber	Schreiber S	Molecular Biology & Genetics	University of Kiel, Germany				3204fd73-9d1c-4221-b55d-358d538912c8
Laura J	Scott	Scott LJ	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				82c6d234-073d-4c5b-b868-ed2e48573904
Stephen M J	Searle	Searle SM	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				5828060d-928f-493a-857b-54617adae51e
Phillip A	Sharp	Sharp PA	Molecular Biology & Genetics	Koch Inst Integrat Canc Res, USA	Massachusetts Institute of Technology (MIT), USA			23a5995e-2dab-4e73-9116-4411810fbe4c
Jay 	Shendure	Shendure J	Molecular Biology & Genetics	University of Washington, USA				be31ed5a-649e-4497-8d7c-bf6c26339433
Arian F A	Smit	Smit AF	Molecular Biology & Genetics	Inst Syst Biol, USA				f3f35182-12c7-415c-a577-8fd24de656e6
Michael 	Snyder	Snyder M	Molecular Biology & Genetics	Stanford University, USA				753c3db3-f995-4f05-bee2-a30915794c48
Erica J	Sodergren	Sodergren EJ	Molecular Biology & Genetics	Washington University in St. Louis, USA				d461edd7-d30b-4267-b8c1-63809e1a8a7d
Nicole 	Soranzo	Soranzo N	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK	University of Cambridge, UK			ae6d6d6b-22af-4ad0-99e1-e591a3ddbccb
Timothy D	Spector	Spector TD	Molecular Biology & Genetics	King's College London, UK				74142973-7f3b-4fb2-91e9-18cb921f8fba
Alexander 	Stark	Stark A	Molecular Biology & Genetics	Res Inst Mol Pathol IMP, Austria		http://www.researcherid.com/rid/D-1473-2012	D-1473-2012	939d3e86-3922-48a2-b01f-c4bb55871e8b
Kari 	Stefansson	Stefansson K	Molecular Biology & Genetics	deCODE Genet, Iceland	University of Iceland, Iceland			7471ab88-b3ef-48af-bf00-d6fb31c70a7c
Hreinn 	Stefansson	Stefansson H	Molecular Biology & Genetics	deCODE Genet, Iceland				2b995c25-5666-471a-99b3-5cf4a696d2fd
Lincoln D	Stein	Stein LD	Molecular Biology & Genetics	University of Toronto, Canada				a3ef402c-fb95-474a-aa5f-cf76f105eb9d
Valgerdur 	Steinthorsdottir	Steinthorsdottir V	Molecular Biology & Genetics	deCODE Genet, Iceland				c5d41324-241e-4111-8d83-1b565b5c9b0a
Matthew 	Stephens	Stephens M	Molecular Biology & Genetics	University of Chicago, USA				cb46fa2f-783e-4b15-b089-e244947a79e7
David P	Strachan	Strachan DP	Molecular Biology & Genetics	St George's University of London, UK				d23338c9-eb8d-43e9-b310-0a10f3478f5f
Michael R	Stratton	Stratton MR	Molecular Biology & Genetics	Wellcome Trust Sanger Inst, UK				50943b81-0371-44d1-ac0e-cfbf8b547da7
Heather M	Stringham	Stringham HM	Molecular Biology & Genetics	University of Michigan - Ann Arbor, USA				29dcfd7f-061b-4aea-b02b-bec6783c9303
